date,exportInEuro,importInEuro
2007-12-31T23:00:00Z,11575460000,8836354000
2008-12-31T23:00:00Z,10460872000,8332920000
2009-12-31T23:00:00Z,12041296000,9504931000
2010-12-31T23:00:00Z,12995735000,10247531000
2011-12-31T23:00:00Z,13630766000,9885480000
2012-12-31T23:00:00Z,12926404000,9729719000
2013-12-31T23:00:00Z,13307452000,9910714000
2014-12-31T23:00:00Z,14077861000,11728684000
2015-12-31T23:00:00Z,15147156000,12113675000
