date,exportInTons,importInTons
2007-12-31T23:00:00Z,1906249,3726.0007
2008-12-31T23:00:00Z,1520.2855,3280393
2009-12-31T23:00:00Z,1768.5266,3788.8852
2010-12-31T23:00:00Z,1843.3903,3990.5757
2011-12-31T23:00:00Z,1866.1425,3386.6765
2012-12-31T23:00:00Z,1812.3266,3508.760
2013-12-31T23:00:00Z,1969.4931,4285.5909
2014-12-31T23:00:00Z,2036.3499,3539.2582
2015-12-31T23:00:00Z,2463.7963,4010.6936
