Nummer,name,EW,S1,S2,S3,S4,D1,D2,D3,D4
07070707,Wittelsbacherstraße,2823,3,1.23,2.94,9.85,0.21,-0.14,-0.26,3.63
08010115,Hasenheide,867,8.92,1.93,9.46,23.08,3.29,0.87,-2.14,0.07
08010116,Wissmannstraße,3524,12.49,3.87,27.04,53.27,-1.36,-0.36,0.05,-3.47
08010117,Schillerpromenade,16108,10.99,3.19,22.38,54.68,-1.52,-0.71,-1.32,-4.42
08010118,Silbersteinstraße,11773,11.75,3.87,30.74,69.14,-1.94,-0.59,-2.42,-3.12
08010211,Flughafenstraße,10204,10.41,3.18,24.04,60.83,-0.87,-0.04,-1.01,-3.92
08010212,Rollberg,7474,12.38,3.97,35.56,67.17,-1.44,-0.49,-0.77,-2.22
08010213,Körnerpark,12812,11.29,3.33,25.78,65.44,-1.61,-1.11,-0.68,0.41
08010214,Glasower Straße,8249,13.18,4.4,29.53,66.43,-1.34,-0.3,-0.77,-1.28
08010301,Reuterkiez,28139,8.67,2.52,18.8,44.55,-0.86,-0.22,-0.97,-5.56
08010302,Bouchéstraße,3780,11.51,4.11,22.86,54.61,-0.73,0.33,0.72,-4.66
08010303,Donaustraße,8552,10.57,2.79,25.5,63.47,-0.41,-0.7,-1.96,-2.16
08010404,Rixdorf,23397,10.83,3.08,24.02,57.47,-1.06,-0.74,-1.74,-4.85
08010405,Hertzbergplatz,9035,9.68,2.65,21.58,53.09,-1.58,-0.87,-1.21,-3.11
08010406,Treptower Straße Nord,7031,13.78,4.2,32.8,73.73,-1.72,-0.6,-0.2,7.18
08010407,Gewerbegebiet Ederstraße,801,11.62,2.94,17.6,52.86,0.06,-0.91,-2.92,-14.84
08010508,Weiße Siedlung,5474,15.55,5.08,41.83,72.07,-1,0.28,-0.06,-1.33
08010509,Schulenburgpark,9508,16.27,5.67,45.27,76.84,-2.44,0.33,2.25,2.07
08010510,Gewerbegebiet Köllnische Heide,383,10.06,2.6,17.23,25.93,-1.86,0.28,2.67,-17.26
08020619,Buschkrugallee Nord,10579,9.44,3.1,25.52,51.1,-2.88,-0.61,1.38,-2.31
08020620,Tempelhofer Weg,9226,10.17,3.43,22.88,59.49,-1.4,-0.47,-0.03,1.11
08020621,Mohriner Allee Nord,2318,2.33,0.58,2.2,5.1,0.16,0.39,0.18,2.56
08020622,Parchimer Allee,14195,7.79,2.13,14.58,33.88,-0.45,-0.4,-0.05,-1.4
08020623,Ortolanweg,1264,6.69,1.57,16.06,47.15,-0.54,-0.58,-0.17,5.93
08020624,Britzer Garten,1142,7.63,2.5,10.33,23.64,0.54,0.97,-4.63,-2.04
08020625,Handwerker-Siedlung,3331,7.56,2.5,10.72,20.96,-1.06,-0.93,0.95,2.05
08020726,Buckow West,8291,4.9,1.32,8.29,20.99,-1.02,-0.39,0.82,2.09
08020727,Buckow Mitte,11436,5.98,1.73,10.48,29.53,-0.32,-0.32,-0.21,-1.28
08020728,Buckow Ost,8286,8.67,2.59,18.84,47.56,-0.47,-0.05,1.78,1.67
08030829,Gropiusstadt Nord,12327,10.53,3.36,25.81,63.77,-1.25,-0.22,1,0.15
08030830,Gropiusstadt Süd,7272,9.17,2.98,17.86,56.19,-1.17,-0.44,1,2.47
08030831,Gropiusstadt Ost,16867,10.61,3.67,23.78,52.05,-0.57,0.13,0.71,-1.41
08040932,Goldhähnchenweg,2757,6.23,2.44,14.15,37.54,-0.98,-0.2,-0.04,-6.45
08040933,Vogelviertel Süd,3941,5.13,1.58,8.88,23.46,-0.13,0.1,1.26,4.07
08040934,Vogelviertel Nord,2686,4.34,1.3,10.09,23.51,-1.47,-0.49,1.02,1.39
08041035,Blumenviertel,7847,4.11,1.21,4.21,11.13,-0.06,0.01,0.17,1.7
08041036,Zittauer Straße,6802,3.44,0.72,3.88,8.75,0.15,-0.47,-0.11,-1.35
08041037,Alt-Rudow,9632,5.97,1.85,9.43,29.6,-0.26,0.26,0.14,0.83
08041038,Waßmannsdorfer Chaussee,6690,3.38,1.13,4.54,11.23,-0.5,0.14,0.05,-0.57
08041039,Frauenviertel,3725,5.26,1.58,13.07,29.53,-1.53,-0.35,-1.66,-4.23
08041040,Waltersdorfer Chaussee Ost,7991,4.69,1.32,9.41,22.64,-0.66,-0.2,-0.27,-0.35
09010101,Elsenstraße,11330,9.22,3.42,12.67,26.9,-1.15,-0.39,-0.3,-2.86
09010201,Am Treptower Park Süd,4252,5.44,1.88,5.79,10,-0.08,0.14,-0.48,-2.01
09010202,Köpenicker Landstraße,6722,10.89,3.92,9.91,34.38,0.85,0.07,-1.47,-4.65
09010301,Baumschulenstraße,14704,8.09,2.62,9.16,29.32,-0.59,-0.41,-0.69,-2.01
09010302,Späthsfelde,2943,2.9,1.09,2.31,5.03,-0.61,0.13,-0.56,0.32
09010401,Johannisthal West,7844,6.88,2.62,6.23,22.05,-0.4,0.06,-0.63,-1.85
09010402,Johannisthal Ost,10737,5.57,1.99,7.67,15.11,-0.59,-0.36,0.45,0.62
09020501,Oberschöneweide West,6147,13.67,5.24,17.7,41.97,-0.67,-0.5,-0.64,-4.27
09020502,Oberschöneweide Ost,14214,9.34,3.78,13.49,30.39,-0.98,-0.06,-0.86,-4.71
09020601,Schnellerstraße,7437,8.81,2.62,12.26,33.51,-0.47,-0.83,0.5,-1.48
09020602,Oberspree,3434,5.82,2.23,5.97,22.03,-0.16,0.35,-0.38,1.97
09020701,Adlershof West,508,6.79,3.51,4.92,0,-10.24,-3.08,-4.21,0
09020702,Adlershof Ost,15934,7.72,2.83,8.5,21.23,-0.58,-0.21,0.06,-0.43
09020801,Spindlersfeld,2881,5.66,2.34,7.81,16.67,-0.89,-0.07,-0.18,0.42
09020802,Köllnische Vorstadt,7268,12.12,4.46,18.96,51.32,-0.53,-0.43,-0.34,-1.77
09030901,Dorf Altglienicke,12317,3.53,1.05,3.05,7.88,-0.39,-0.04,-0.13,-0.77
09030902,Wohngebiet II,5827,14.87,5.99,23.27,56.16,-0.44,-0.48,0.89,0.19
09030903,Kölner Viertel,7800,5.93,2.43,9.29,18.58,-0.27,0.27,-1.04,-2.87
09031001,Bohnsdorf,12240,4.4,1.41,5.28,14.06,-0.17,0.11,0.06,-0.32
09031101,Grünau,5649,4.45,1.4,3.54,8.08,-0.92,-0.41,-0.16,-1.68
09031201,Karolinenhof,1764,2.78,0.86,1.13,0,-1.05,-0.29,0.11,0
09031202,Schmöckwitz/Rauchfangswerder,2351,4.37,1.19,2.68,6.14,0.99,-0.23,1.06,6.14
09041301,Kietzer Feld/Nachtheide,13933,7.14,2.65,6.68,18.99,-0.59,-0.12,-0.16,-0.55
09041302,Wendenschloß,1792,2.16,0.45,0.84,0,-0.28,-0.07,-0.51,-1.35
09041401,Allende I,4845,5.94,1.89,6.71,17.74,0.39,-0.31,-0.05,-2.65
09041402,Allende II,1480,4.33,1.41,5.81,13.9,-0.83,-0.24,-0.5,-5.76
09041501,Altstadt Kietz,7173,9.19,3.37,13.65,32.5,-1.2,-0.52,-1.33,-4.17
09041601,Müggelheim,6522,3.35,1.08,2.02,3.73,-0.63,-0.08,-0.39,-0.5
09051701,Hirschgarten,3522,4.17,0.88,4.09,8.31,-1.26,-0.54,0.42,1.51
09051702,Bölschestraße,14383,4.48,1.6,3.96,7.49,-0.45,-0.07,-0.09,-0.43
09051801,Rahnsdorf/Hessenwinkel,9041,3.92,1.15,2.37,4.28,0.37,0.2,-0.02,-0.96
09051901,Dammvorstadt,10075,6.88,2.27,7,16.52,-0.33,-0.43,-1.09,-3.55
09052001,Köpenick Nord,12300,5.96,2.12,4.56,12.18,-0.21,-0.29,-0.09,-0.43
10010101,Marzahn West,5545,11.52,3.89,25.59,55.13,-3.03,-1.59,-1.51,-4.65
10010102,Havemannstraße,17726,12.99,4.27,28.74,62.06,-2.13,-1.2,0.61,-1.33
10010204,Wuhletalstraße,10220,12.02,4.2,23.16,53.87,-2.02,-1.41,-0.88,-2.95
10010205,Marzahn Ost,8035,12.56,4.47,21.88,51.8,-0.65,-0.28,-0.24,-1.12
10010206,Ringkolonnaden,16406,10.04,3.31,17.98,50.18,-1.38,-0.97,0.56,-0.07
10010207,Marzahner Promenade,10655,10.55,3.31,19.93,53.94,-1.02,-1.04,1.03,0.63
10010308,Marzahner Chaussee,2148,6.22,1.86,5.73,10.56,0.02,-0.41,0.88,1.61
10010309,Springpfuhl,14403,9.3,3.29,15.1,43.36,-1.45,-0.7,-0.47,-2.95
10010310,Alt-Marzahn,17603,8.89,2.77,14.24,40.73,-0.58,-0.66,0.07,-1.43
10010311,Landsberger Tor,2944,3.69,0.97,6.79,13.72,-1.28,-0.88,-0.85,-4.65
10020412,Alte Hellersdorfer Straße,6617,16.58,5.23,34.35,62.49,-1.59,-1.04,0.67,-3.04
10020413,Gut Hellersdorf,14967,11.34,3.38,21.9,54.95,-1.65,-1.02,1.13,0.48
10020414,Helle Mitte,1658,9.13,2.56,22.86,51.97,-1.87,-1.77,-3.93,-10.58
10020415,Hellersdorfer Promenade,5304,15.95,5.25,32.35,70.8,-1.64,-1.2,2.61,0.97
10020416,Böhlener Straße,5406,14.7,4.09,27.28,56.23,-2.88,-2.77,0.99,-2.02
10020517,Adele-Sandrock-Straße,8786,7.1,2.23,10.96,31.68,-0.64,-0.64,-0.88,-5.41
10020518,Schleipfuhl,5045,10.43,3.1,20.34,47.85,-1.56,-1.07,0.96,3.35
10020519,Boulevard Kastanienallee,5799,15.73,5.26,32.14,61.47,-2.67,-2,0.54,-8.48
10020620,Kaulsdorf Nord II,3357,9.24,3.12,16.74,46.95,-3.35,-1.77,-0.56,-2.73
10020621,Gelbes Viertel,5915,11.67,3.37,24.4,53.27,-1.03,-0.72,2.94,3.66
10020622,Kaulsdorf Nord I,8717,8.45,2.55,14.12,43.37,-0.75,-0.73,-0.31,0.16
10020623,Rotes Viertel,6507,8.38,2.75,11.91,32.86,0.05,-0.1,0.48,1.06
10030724,Oberfeldstraße,7728,2.28,0.7,1.63,4.13,-0.66,-0.27,0.35,1.51
10030725,Buckower Ring,5810,8.07,2.8,12,22.97,-1.52,-0.7,0.52,1.1
10030726,Alt-Biesdorf,2844,3.28,0.85,1.62,2.27,-0.31,-0.33,-0.14,-1
10030727,Biesdorf Süd,9188,2.15,0.51,0.98,1.76,-0.69,-0.37,-0.19,-0.28
10040828,Kaulsdorf Nord,7609,4.41,1.47,6.01,16.06,-0.62,-0.35,0.14,-1.69
10040829,Alt-Kaulsdorf,3583,3.29,0.98,3.18,3.89,-0.63,-0.3,0.42,0.63
10040830,Kaulsdorf Süd,7426,2.31,0.69,1.99,5.92,-0.83,-0.33,0.31,2.73
10040931,Mahlsdorf Nord,9124,2.73,0.85,2.03,2.95,-0.61,-0.27,0.12,-0.01
10040932,Alt-Mahlsdorf,3905,3.61,0.93,2.77,5.75,0.02,-0.12,-0.31,0
10040933,Mahlsdorf Süd,14405,2.9,0.92,2,4.14,-0.34,-0.15,0.08,0.47
11010101,Dorf Malchow,560,10.92,2.18,11.96,0,6.47,2.18,7.31,-5.17
11010102,Dorf Wartenberg,2562,3.13,1.08,2.38,5.57,0.31,-0.06,0.41,1.27
11010103,Dorf Falkenberg,1285,3.17,1.19,2.72,7.01,-0.95,-0.12,-0.86,0.3
11010204,Falkenberg Ost,8818,12.48,5.07,24.86,56.75,-1.35,0.31,1.43,2.38
11010205,Falkenberg West,6670,10.53,3.93,22.31,51.18,-3.22,-0.79,1.64,-1.84
11010206,Wartenberg Süd,5853,9.46,3.52,18.18,50.89,-1.37,-0.16,0.67,3.65
11010207,Wartenberg Nord,6882,10.03,3.4,17.96,42.79,-1.58,-0.37,-0.37,-5.54
11010308,Zingster Straße Ost,10996,10.79,4.11,18.42,49.86,-1.45,-0.3,0.35,-2.32
11010309,Zingster Straße West,9551,11.35,4.53,23.09,54.53,-2.25,-0.21,2.11,2.31
11010310,Mühlengrund,5237,7.57,3.17,11.04,33.16,-2.42,0,-0.71,-7.9
11020411,Malchower Weg,7779,5.25,1.66,7.21,21.77,-0.17,0.01,1.17,2.73
11020412,Hauptstraße,6088,7.94,3.32,13.21,32.59,-0.45,0.14,-0.18,-1.13
11020513,Orankesee,3390,2.99,0.94,2.09,3.45,0.05,0.27,-0.07,-0.94
11020514,Große-Leege-Straße,8286,7.12,2.49,9.8,23.46,-0.6,0.12,0.72,0.76
11020515,Landsberger Allee,14317,8.96,3.11,14.24,38.99,-0.88,-0.27,0.31,-0.04
11020516,Weiße Taube,3705,2.94,0.67,3.83,10.16,0.05,-0.02,-0.01,0.65
11030617,Hohenschönhausener Straße,6124,10.95,3.79,18.62,60.14,-2.94,-0.88,0.74,-2.34
11030618,Fennpfuhl West,15750,7.87,2.83,11.83,34.47,-1.51,-0.41,0.45,-0.89
11030619,Fennpfuhl Ost,10596,10.04,3.53,16.78,48.03,-1.75,-0.38,0.33,0.61
11030720,Herzbergstraße,5128,5.54,1.58,10.35,33.14,-1.4,-0.71,-0.52,2.71
11030721,Rüdigerstraße,21946,7.56,2.76,10.37,24.68,-1.92,-0.54,-0.03,-1.75
11030824,Frankfurter Allee Süd,10004,8.4,3.05,14.63,40.28,-1.1,-0.36,-0.26,-4.04
11040925,Victoriastadt,3553,7.01,1.81,10.78,19.24,-1.14,-0.67,-0.01,-0.36
11040926,Weitlingstraße,27214,8.05,2.68,12.37,31.8,-1.99,-0.8,0.12,-0.59
11041022,Rosenfelder Ring,5088,11.67,4.58,14.68,49.56,-2.45,-0.13,2.06,6.96
11041023,Gensinger Straße,5902,10.02,3.41,18.52,44.6,-1.79,-0.87,-0.04,-4.56
11041027,Tierpark,2738,8.82,3.43,17.68,41.31,-4.74,-1.93,1.05,-3.69
11041128,Sewanstraße,24697,7.97,3.15,11.63,41.08,-1.23,0.01,0.55,0.78
11051229,Rummelsburg,3420,4.52,1.54,3.86,3.17,-0.93,-0.24,0.02,-1.12
11051330,Karlshorst West,8240,4.38,1.38,5.69,10.57,-0.55,-0.15,0.41,0.04
11051331,Karlshorst Nord,9595,4.03,1.4,3.98,5.84,-0.88,-0.03,0.2,-0.47
11051332,Karlshorst Süd,6491,3.03,0.86,3.24,3.91,-0.79,-0.26,-0.52,-1.82
12103115,Breitkopfbecken,7449,11.88,4,22.74,54.15,-1.05,0.24,-0.26,0.31
12103116,Hausotterplatz,9180,10.83,3.49,23.19,53.63,-0.69,-0.2,1.41,3.33
12103117,Letteplatz,10039,11.17,3.56,23.78,55.58,-2.01,-0.62,-0.4,-0.6
12103218,Teichstraße,13017,10.61,3.48,20.87,53.85,0.04,0.56,0.87,1.25
12103219,Schäfersee,8551,11.24,3.47,20.1,53.77,-0.24,0.03,0.15,-2.86
12103220,Humboldtstraße,4588,7.06,2.44,12.93,31.03,-2.32,-0.38,0.46,-0.83
12214125,Waldidyll/Flughafensee,7005,4.61,1.29,6.54,16.24,-0.75,-0.05,0.15,-0.61
12214126,Tegel Süd,7551,9.79,3.49,20.22,45.07,-1.39,-0.41,1.08,0.27
12214421,Reinickes Hof,2603,11.16,3.8,16.25,43.15,1.25,1.24,0.33,5.37
12214422,Klixstraße,7688,11.9,3.92,28.77,62.37,-1.43,-0.07,1.27,-0.93
12214423,Mellerbogen,5534,7.82,2.84,14.6,44.23,-2.44,0.05,0.51,2.03
12214424,Scharnweberstraße,10325,10.91,3.4,23.21,54.64,-1.25,-0.43,0.62,-2.38
12214527,Alt-Tegel,10380,5.6,1.51,7.22,17.96,-0.01,-0.35,0.29,2.08
12224229,Konradshöhe/Tegelort,6013,2.96,0.92,2.26,5.78,-0.66,-0.27,0.35,0.83
12224230,Heiligensee,17860,2.62,0.74,2.58,4.49,-0.53,-0.02,0.04,-0.48
12231101,Hermsdorf,16287,3.05,0.91,2.74,4.72,-0.1,-0.26,0.21,0.81
12231102,Frohnau,16686,2.32,0.7,2.05,3.23,-0.33,0.01,0.1,-0.07
12301203,Wittenau Süd,14476,7.23,2.21,11.29,26.28,-0.96,-0.4,0.19,-3.08
12301204,Wittenau Nord,6167,3.64,0.99,6.19,14.29,-0.58,-0.17,0.6,0.61
12301205,Waidmannslust,4825,4.32,1.33,5.1,9.46,-0.52,0.15,0.34,1.59
12301206,Lübars,4969,3.16,0.85,3.14,4.81,-0.99,-0.21,-0.13,0.22
12302107,Schorfheidestraße,3005,5.18,1.39,7.05,19.5,0.65,-0.31,1.71,6.48
12302108,Märkisches Zentrum,13526,12.17,4.17,27.45,65.42,-0.65,0.15,-0.24,-1.53
12302109,Treuenbrietzener Straße,11183,13.36,4.2,34.66,67.71,-1.52,-0.23,0.49,-0.93
12302110,Dannenwalder Weg,9957,12.84,4.3,31,61.69,0.52,0.77,1.61,1.06
12302211,Lübarser Straße,3280,6.65,2.35,7.07,14.61,-0.61,0.15,0.3,-3.06
12302212,Rollbergesiedlung,5472,11.74,3.45,30.65,64.33,-0.45,0.45,3.87,8.24
12304313,Borsigwalde,6452,7.45,2.42,11.35,29.18,-1.17,-0.61,-0.16,4.1
12304314,Ziekowstraße/Freie Scholle,9679,5.78,1.63,7.49,18.2,-1.05,-0.58,0.07,-0.98
